date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2024-02-01,1,900948,MZ01,2588.0,103.73686,72.006004,310.07806,243.59883,616.8215,550.60895,141.20569,126.74158,111.917114,final
2024-02-11,1,900948,MZ01,2588.0,100.729904,84.03947,310.0595,240.7918,692.2724,623.63525,118.744995,128.18146,110.91844,final
2024-02-21,1,900948,MZ01,2588.0,102.593895,57.470467,307.06067,213.51593,767.7029,655.0765,172.23161,142.80911,117.06263,final
2024-03-01,1,900948,MZ01,2588.0,88.55178,81.81247,291.87558,223.32239,811.60315,693.1858,107.76306,130.02473,116.96073,final
2024-03-11,1,900948,MZ01,2588.0,31.641035,57.97599,222.78671,197.25893,827.1978,689.6808,58.18255,112.621346,119.795715,final
2024-03-21,1,900948,MZ01,2588.0,78.86785,69.496254,199.06067,209.28471,851.15265,680.88995,112.579956,95.22875,124.823616,final
2024-04-01,1,900948,MZ01,2588.0,22.07844,51.562508,132.58733,179.03474,734.54095,645.956,47.873478,74.761604,113.608444,final
2024-04-11,1,900948,MZ01,2588.0,30.41847,26.844437,131.36476,147.9032,664.211,585.9539,111.22343,89.183716,113.24251,final
2024-04-21,1,900948,MZ01,2588.0,26.765455,20.62545,79.26237,99.032394,585.38367,521.833,123.96058,80.99628,112.062775,final
2024-05-01,1,900948,MZ01,2588.0,13.81337,8.62518,70.9973,56.095066,495.46014,458.4522,138.07796,124.39188,107.98527,final
2024-05-11,1,900948,MZ01,2588.0,2.0146832,5.202009,42.59351,34.45264,396.74496,379.61475,68.75786,120.63453,104.453865,final
2024-05-21,1,900948,MZ01,2588.0,3.203632,4.225747,19.031685,18.052937,297.35474,326.37006,88.92107,104.24565,91.243835,final
2024-06-01,1,900948,MZ01,2588.0,2.9849305,2.926906,8.203245,12.354663,211.78786,247.48448,100.731995,76.07895,85.861855,final
2024-06-11,1,900948,MZ01,2588.0,2.375966,2.1803324,8.564528,9.332986,182.52278,191.68883,102.72458,94.638535,95.33982,final
2024-06-21,1,900948,MZ01,2588.0,2.2932765,2.1147861,7.654173,7.222025,105.94823,124.30736,102.50872,103.53582,85.80195,final
2024-07-01,1,900948,MZ01,2588.0,1.2360896,1.8695132,5.9053326,6.164632,85.10588,74.614365,90.779205,97.67749,113.17792,final
2024-07-11,1,900948,MZ01,2588.0,1.4354714,1.7900051,4.9648376,5.7743044,56.122875,49.55993,94.778595,92.48707,112.02887,final
2024-07-21,1,900948,MZ01,2588.0,1.5838485,2.2501287,4.2554092,5.909647,30.941267,31.184608,90.81009,84.83692,99.32751,final
2024-08-01,1,900948,MZ01,2588.0,1.354714,1.5145544,4.374034,5.5546885,18.48261,24.073982,97.54641,88.813934,80.76847,final
2024-08-11,1,900948,MZ01,2588.0,1.5510046,1.6650438,4.489567,5.429727,18.018932,20.537018,98.288994,90.985756,90.139465,final
2024-08-21,1,900948,MZ01,2588.0,1.7627511,1.7700284,4.66847,4.9496264,16.578053,18.081299,99.89251,97.174194,93.48717,final
2024-09-01,1,900948,MZ01,2588.0,1.0208656,1.1457496,4.3346214,4.5808215,14.613988,16.300142,97.96796,97.430275,92.08383,final
2024-09-11,1,900948,MZ01,2588.0,1.0390263,1.0965225,3.8226428,4.0123005,13.277047,15.2163315,99.05691,97.89558,90.40733,final
2024-09-21,1,900948,MZ01,2588.0,1.3956723,1.6293019,3.455564,3.871574,12.379444,14.730847,96.47581,95.31075,88.0826,final
2024-10-01,1,900948,MZ01,2588.0,4.9702473,2.0097115,7.404946,4.7355356,16.113602,14.871046,142.23477,127.419235,106.2531,final
2024-10-11,1,900948,MZ01,2588.0,2.9285161,2.0985188,9.2944355,5.737532,17.606646,15.17956,111.69255,133.1259,112.02744,final
2024-10-21,1,900948,MZ01,2588.0,4.2585006,4.819655,12.157265,8.927885,20.281298,17.749086,94.28541,123.18643,111.13105,final
2024-11-01,1,900948,MZ01,2588.0,9.59119,6.6269193,16.778206,13.545093,28.517775,22.86145,125.494896,117.433784,120.30161,final
2024-11-11,1,900948,MZ01,2588.0,5.388331,11.014336,19.238022,22.460909,32.355103,32.210743,64.86894,88.263725,100.387955,final
2024-11-21,1,900948,MZ01,2588.0,43.89876,25.913202,58.87828,43.55446,74.49111,56.353916,158.18083,131.56007,129.56158,final
2024-12-01,1,900948,MZ01,2588.0,39.3153,44.19978,88.602394,81.12732,112.785545,99.40794,90.07215,108.67911,112.81282,final
2024-12-11,1,900948,MZ01,2588.0,25.763523,64.14141,108.977585,134.2544,137.51004,162.45284,44.49363,81.848465,85.10458,final
2024-12-21,1,900948,MZ01,2588.0,42.005024,77.552895,107.08385,185.89409,178.11938,238.37642,56.93928,58.715202,75.24122,final
2025-01-01,1,900948,MZ01,2588.0,66.19359,86.49647,133.96213,226.2646,239.34273,321.11752,77.8102,60.087936,74.92475,final
2025-01-11,1,900948,MZ01,2588.0,66.63215,86.8465,174.83075,251.63005,303.04636,405.92667,77.99116,70.07392,74.96383,final
2025-01-21,1,900948,MZ01,2588.0,85.40456,84.74633,218.2303,258.0893,384.19244,485.83112,100.73344,84.84963,79.292534,final
2025-02-01,1,900948,MZ01,2588.0,83.90031,72.006004,235.93701,243.59883,458.50156,550.60895,115.44594,96.918,83.422264,final
2025-02-11,1,900948,MZ01,2588.0,46.50425,84.03947,215.80911,240.7918,499.61743,623.63525,57.84429,89.83583,80.2719,final
2025-02-21,1,900948,MZ01,2588.0,20.34003,57.470467,150.74458,213.51593,476.05872,655.0765,40.563217,71.27379,72.879234,final
2025-03-01,1,900948,MZ01,2588.0,81.841576,81.81247,148.68585,223.32239,518.58496,693.1858,100.03352,67.3109,74.99221,final
2025-03-11,1,900948,MZ01,2588.0,125.04482,57.97599,227.22644,197.25893,617.8663,689.6808,206.49905,114.816414,89.66223,final
2025-03-21,1,900948,MZ01,2588.0,62.34003,69.496254,269.22644,209.28471,638.2013,680.88995,90.393845,127.97294,93.77617,final
2025-04-01,1,900948,MZ01,2588.0,59.08578,51.562508,246.47064,179.03474,631.0935,645.956,113.30083,136.64304,97.71682,final
2025-04-11,1,900948,MZ01,2588.0,87.28864,26.844437,208.71445,147.9032,651.75,585.9539,289.81088,139.77109,111.13387,final
2025-04-21,1,900948,MZ01,2588.0,60.903015,20.62545,207.27744,99.032394,627.2485,521.833,257.17798,204.04935,120.00928,final
