name,iso,id,country,admin_level,category,range_type,range,population_type,population,population_share,population_interval,population_interval_share
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,6000,elderly,4985,73.23,56,0.82
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,6000,school_age,56011,73.23,634,0.83
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,6000,total,104325,73.23,1182,0.83
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,6000,under_5,17826,73.23,202,0.83
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,6000,women_childbearing,25670,73.23,290,0.83
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,600,adults,26679,7.86,26679,7.86
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,600,elderly,1506,7.85,1506,7.85
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,600,school_age,15276,7.86,15276,7.86
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,600,total,28405,7.86,28405,7.86
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,600,under_5,4815,7.86,4815,7.86
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,600,women_childbearing,6734,7.86,6734,7.86
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,1200,adults,29747,8.76,3068,0.9
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,1200,elderly,1679,8.76,173,0.9
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,1200,school_age,17033,8.76,1757,0.9
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,1200,total,31671,8.76,3266,0.9
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,1200,under_5,5368,8.76,553,0.9
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,1200,women_childbearing,7508,8.76,774,0.9
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,1800,adults,33667,9.91,3920,1.15
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,1800,elderly,1901,9.91,222,1.16
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,1800,school_age,19277,9.91,2244,1.15
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,1800,total,35844,9.91,4173,1.15
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,1800,under_5,6076,9.91,708,1.16
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,1800,women_childbearing,8498,9.91,990,1.15
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,2400,adults,38982,11.48,5315,1.57
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,2400,elderly,2201,11.48,300,1.56
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,2400,school_age,22321,11.48,3044,1.57
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,2400,total,41503,11.48,5659,1.57
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,2400,under_5,7035,11.48,959,1.56
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,2400,women_childbearing,9839,11.48,1341,1.56
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,3000,adults,43507,12.81,4525,1.33
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,3000,elderly,2456,12.81,255,1.33
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,3000,school_age,24912,12.81,2591,1.33
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,3000,total,46321,12.81,4818,1.33
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,3000,under_5,7852,12.81,817,1.33
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,3000,women_childbearing,10981,12.81,1142,1.33
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,3600,adults,49158,14.48,5651,1.66
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,3600,elderly,2775,14.47,319,1.66
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,3600,school_age,28148,14.48,3236,1.66
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,3600,total,52338,14.48,6017,1.66
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,3600,under_5,8872,14.48,1020,1.66
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,3600,women_childbearing,12408,14.48,1427,1.66
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,4200,adults,66593,19.61,17435,5.13
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,4200,elderly,3760,19.61,985,5.14
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,4200,school_age,38131,19.61,9983,5.13
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,4200,total,70900,19.61,18562,5.13
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,4200,under_5,12018,19.61,3146,5.13
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,4200,women_childbearing,16809,19.61,4401,5.13
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,4800,adults,80476,23.7,13883,4.09
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,4800,elderly,4544,23.7,784,4.09
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,4800,school_age,46080,23.7,7949,4.09
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,4800,total,85680,23.7,14780,4.09
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,4800,under_5,14524,23.7,2506,4.09
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,4800,women_childbearing,20313,23.7,3504,4.09
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,5400,adults,97641,28.75,17165,5.05
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,5400,elderly,5513,28.75,969,5.05
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,5400,school_age,55909,28.75,9829,5.05
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,5400,total,103956,28.75,18276,5.05
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,5400,under_5,17622,28.75,3098,5.05
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,5400,women_childbearing,24646,28.75,4333,5.06
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,6000,adults,109789,32.33,12148,3.58
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,6000,elderly,6199,32.33,686,3.58
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,6000,school_age,62865,32.33,6956,3.58
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,6000,total,116889,32.33,12933,3.58
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,6000,under_5,19814,32.33,2192,3.58
Angoche,,85939544B28799715012212,MOZ,ADM2,hospitals,TIME,6000,women_childbearing,27712,32.33,3066,3.58
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,600,adults,21295,5.85,21295,5.85
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,600,elderly,1083,5.85,1083,5.85
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,600,school_age,12579,5.85,12579,5.85
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,600,total,22552,5.85,22552,5.85
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,600,under_5,3674,5.85,3674,5.85
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,600,women_childbearing,5323,5.85,5323,5.85
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,1200,adults,39840,10.94,18545,5.09
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,1200,elderly,2027,10.94,944,5.1
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,1200,school_age,23533,10.94,10954,5.09
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,1200,total,42192,10.94,19640,5.09
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,1200,under_5,6874,10.94,3200,5.09
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,1200,women_childbearing,9960,10.94,4637,5.09
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,1800,adults,65010,17.85,25170,6.91
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,1800,elderly,3307,17.85,1280,6.91
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,1800,school_age,38402,17.85,14869,6.91
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,1800,total,68849,17.85,26657,6.91
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,1800,under_5,11218,17.85,4344,6.91
Angonia,,85939544B12573256040215,MOZ,ADM2,hospitals,TIME,1800,women_childbearing,16252,17.85,6292,6.91
