name,iso,id,country,admin_level,category,range_type,range,population_type,population,population_share,population_interval,population_interval_share
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,5000,total,15998,9.0,15998,9.0
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,10000,school_age,20440,20.13,11298,11.13
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,10000,total,35769,20.13,19771,11.13
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,15000,school_age,35043,34.52,14603,14.38
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,15000,total,61322,34.52,25553,14.38
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,20000,school_age,45470,44.79,10427,10.27
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,20000,total,79570,44.79,18248,10.27
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,25000,school_age,52274,51.49,6804,6.7
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,25000,total,91475,51.49,11905,6.7
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,30000,school_age,57694,56.83,5420,5.34
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,30000,total,100960,56.83,9485,5.34
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,35000,school_age,62943,62.0,5249,5.17
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,35000,total,110145,62.0,9185,5.17
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,40000,school_age,69067,68.03,6124,6.03
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,40000,total,120863,68.03,10718,6.03
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,45000,school_age,74592,73.47,5525,5.44
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,45000,total,130531,73.47,9668,5.44
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,50000,school_age,78609,77.43,4017,3.96
Buzi,,85939544B98429522964184,MOZ,ADM2,education,DISTANCE,50000,total,137561,77.43,7030,3.96
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,5000,school_age,321498,27.55,321498,27.55
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,5000,total,613829,27.43,613829,27.43
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,10000,school_age,368308,31.56,46810,4.01
Cabo Delgado,MZ-P,27363107B79734749620930,MOZ,ADM1,education,DISTANCE,10000,total,702814,31.4,88985,3.98
